Student,Date,Course,Block,Attendance
David,2024-10-01,Art 8,2-3,AE
David,2024-10-01,PE 8,2-4,P
David,2024-10-02,Math 8,1-2,P
David,2024-10-02,Science 8,1-3,P
David,2024-10-02,English 8,1-4,AE
David,2024-10-03,Socials 8,2-1,P
David,2024-10-03,French 8,2-2,A
David,2024-10-03,Art 8,2-3,P
David,2024-10-03,PE 8,2-4,AE
David,2024-10-04,Math 8,1-2,A
David,2024-10-04,Science 8,1-3,P
David,2024-10-04,English 8,1-4,P
David,2024-10-05,Socials 8,2-1,L
David,2024-10-05,French 8,2-2,L
David,2024-10-05,Art 8,2-3,P
David,2024-10-05,PE 8,2-4,P
Eva,2024-10-01,Socials 9,2-1,P
Eva,2024-10-01,French 9,2-2,P
Eva,2024-10-01,Art 9,2-3,A
Eva,2024-10-01,PE 9,2-4,P
Eva,2024-10-02,Math 9,1-2,A
Eva,2024-10-02,Science 9,1-3,AE
Eva,2024-10-02,English 9,1-4,P
Eva,2024-10-03,Socials 9,2-1,P
Eva,2024-10-03,French 9,2-2,P
Eva,2024-10-03,Art 9,2-3,P
Eva,2024-10-03,PE 9,2-4,P
Eva,2024-10-04,Math 9,1-2,P
Eva,2024-10-04,Science 9,1-3,P
Eva,2024-10-04,English 9,1-4,L
Eva,2024-10-05,Socials 9,2-1,A
Eva,2024-10-05,French 9,2-2,P
Eva,2024-10-05,Art 9,2-3,AE
Eva,2024-10-05,PE 9,2-4,P
Frank,2024-10-01,English 8,2-1,P
Frank,2024-10-01,Socials 8,2-2,P
Frank,2024-10-01,French 8,2-3,P
Frank,2024-10-01,Art 8,2-4,A
Frank,2024-10-02,Math 8,1-3,AE
Frank,2024-10-02,Science 8,1-4,P
Frank,2024-10-02,PE 8,1-4,P
Frank,2024-10-03,English 8,2-1,P
Frank,2024-10-03,Socials 8,2-2,P
Frank,2024-10-03,French 8,2-3,P
Frank,2024-10-03,Art 8,2-4,L
Frank,2024-10-04,Math 8,1-3,P
Frank,2024-10-04,Science 8,1-4,L
Frank,2024-10-04,PE 8,1-4,P
Frank,2024-10-05,English 8,2-1,P
Frank,2024-10-05,Socials 8,2-2,P
Frank,2024-10-05,French 8,2-3,L
Frank,2024-10-05,Art 8,2-4,P
Grace,2024-10-01,English 9,2-1,P
Grace,2024-10-01,Socials 9,2-2,A
Grace,2024-10-01,French 9,2-3,P
Grace,2024-10-01,Art 9,2-4,P
Grace,2024-10-02,Math 9,1-3,P
Grace,2024-10-02,Science 9,1-4,L
Grace,2024-10-02,PE 9,1-2,P
Grace,2024-10-03,English 9,2-1,P
Grace,2024-10-03,Socials 9,2-2,P
Grace,2024-10-03,French 9,2-3,P
Grace,2024-10-03,Art 9,2-4,P
Grace,2024-10-04,Math 9,1-3,P
Grace,2024-10-04,Science 9,1-4,P
Grace,2024-10-04,PE 9,1-2,L
Grace,2024-10-05,English 9,2-1,P
Grace,2024-10-05,Socials 9,2-2,L
Grace,2024-10-05,French 9,2-3,P
Grace,2024-10-05,Art 9,2-4,L
Henry,2024-10-01,Science 8,2-1,L
Henry,2024-10-01,English 8,2-2,P
Henry,2024-10-01,Socials 8,2-3,AE
Henry,2024-10-01,French 8,2-4,L
Henry,2024-10-02,Math 8,1-4,L
Henry,2024-10-02,Art 8,1-2,P
Henry,2024-10-02,PE 8,1-3,A
Henry,2024-10-03,Science 8,2-1,P
Henry,2024-10-03,English 8,2-2,P
Henry,2024-10-03,Socials 8,2-3,L
Henry,2024-10-03,French 8,2-4,P
Henry,2024-10-04,Math 8,1-4,L
Henry,2024-10-04,Art 8,1-2,P
Henry,2024-10-04,PE 8,1-3,A
Henry,2024-10-05,Science 8,2-1,AE
Henry,2024-10-05,English 8,2-2,AE
Henry,2024-10-05,Socials 8,2-3,P
Henry,2024-10-05,French 8,2-4,P
Jack,2024-10-01,French 8,2-1,AE
Jack,2024-10-01,Art 8,2-2,P
Jack,2024-10-01,PE 8,2-3,P
Jack,2024-10-02,Math 8,1-1,P
Jack,2024-10-02,Science 8,1-2,L
Jack,2024-10-02,English 8,1-3,P
Jack,2024-10-02,Socials 8,1-4,L
Jack,2024-10-03,French 8,2-1,P
Jack,2024-10-03,Art 8,2-2,P
Jack,2024-10-03,PE 8,2-3,P
Jack,2024-10-04,Math 8,1-1,P
Jack,2024-10-04,Science 8,1-2,L
Jack,2024-10-04,English 8,1-3,P
Jack,2024-10-04,Socials 8,1-4,P
Jack,2024-10-05,French 8,2-1,P
Jack,2024-10-05,Art 8,2-2,AE
Jack,2024-10-05,PE 8,2-3,P
